#lev      x           d          u          P
  5  1.56250E-02  1.000E+00  0.000E+00  1.000E+00
  5  4.68750E-02  1.000E+00  0.000E+00  1.000E+00
  5  7.81250E-02  1.000E+00  0.000E+00  1.000E+00
  5  1.09375E-01  1.000E+00  2.070E-09  1.000E+00
  6  1.32812E-01  1.000E+00  4.521E-08  1.000E+00
  6  1.48438E-01  1.000E+00  6.460E-07  1.000E+00
  6  1.64062E-01  1.000E+00  8.464E-06  1.000E+00
  6  1.79688E-01  9.999E-01  1.063E-04  9.999E-01
  7  1.91406E-01  9.991E-01  1.015E-03  9.988E-01
  7  1.99219E-01  9.976E-01  2.836E-03  9.967E-01
  7  2.07031E-01  9.873E-01  1.512E-02  9.823E-01
  7  2.14844E-01  9.708E-01  3.495E-02  9.594E-01
  7  2.22656E-01  9.505E-01  5.978E-02  9.315E-01
  7  2.30469E-01  9.289E-01  8.670E-02  9.019E-01
  7  2.38281E-01  9.074E-01  1.140E-01  8.728E-01
  7  2.46094E-01  8.865E-01  1.409E-01  8.448E-01
  7  2.53906E-01  8.664E-01  1.674E-01  8.181E-01
  7  2.61719E-01  8.468E-01  1.936E-01  7.923E-01
  7  2.69531E-01  8.276E-01  2.198E-01  7.673E-01
  7  2.77344E-01  8.088E-01  2.460E-01  7.430E-01
  7  2.85156E-01  7.903E-01  2.720E-01  7.194E-01
  7  2.92969E-01  7.724E-01  2.980E-01  6.966E-01
  7  3.00781E-01  7.547E-01  3.238E-01  6.744E-01
  7  3.08594E-01  7.375E-01  3.497E-01  6.529E-01
  7  3.16406E-01  7.205E-01  3.756E-01  6.320E-01
  7  3.24219E-01  7.038E-01  4.015E-01  6.115E-01
  7  3.32031E-01  6.874E-01  4.275E-01  5.917E-01
  7  3.39844E-01  6.712E-01  4.535E-01  5.723E-01
  7  3.47656E-01  6.554E-01  4.795E-01  5.535E-01
  7  3.55469E-01  6.399E-01  5.055E-01  5.353E-01
  7  3.63281E-01  6.247E-01  5.314E-01  5.175E-01
  7  3.71094E-01  6.098E-01  5.574E-01  5.003E-01
  7  3.78906E-01  5.951E-01  5.834E-01  4.836E-01
  7  3.86719E-01  5.808E-01  6.094E-01  4.673E-01
  7  3.94531E-01  5.667E-01  6.354E-01  4.516E-01
  7  4.02344E-01  5.529E-01  6.613E-01  4.362E-01
  7  4.10156E-01  5.394E-01  6.873E-01  4.214E-01
  7  4.17969E-01  5.261E-01  7.132E-01  4.069E-01
  7  4.25781E-01  5.131E-01  7.391E-01  3.929E-01
  7  4.33594E-01  5.004E-01  7.651E-01  3.793E-01
  7  4.41406E-01  4.878E-01  7.911E-01  3.661E-01
  7  4.49219E-01  4.754E-01  8.174E-01  3.531E-01
  7  4.57031E-01  4.631E-01  8.441E-01  3.404E-01
  7  4.64844E-01  4.510E-01  8.709E-01  3.280E-01
  7  4.72656E-01  4.397E-01  8.965E-01  3.166E-01
  7  4.80469E-01  4.309E-01  9.169E-01  3.077E-01
  7  4.88281E-01  4.268E-01  9.260E-01  3.037E-01
  7  4.96094E-01  4.263E-01  9.274E-01  3.031E-01
  6  5.07812E-01  4.264E-01  9.274E-01  3.031E-01
  6  5.23438E-01  4.263E-01  9.274E-01  3.031E-01
  6  5.39062E-01  4.263E-01  9.273E-01  3.031E-01
  6  5.54688E-01  4.263E-01  9.273E-01  3.031E-01
  5  5.78125E-01  4.263E-01  9.273E-01  3.031E-01
  6  6.01562E-01  4.263E-01  9.274E-01  3.031E-01
  6  6.17188E-01  4.263E-01  9.275E-01  3.031E-01
  6  6.32812E-01  4.263E-01  9.275E-01  3.031E-01
  6  6.48438E-01  4.263E-01  9.275E-01  3.031E-01
  7  6.60156E-01  4.263E-01  9.275E-01  3.031E-01
  7  6.67969E-01  4.263E-01  9.275E-01  3.031E-01
  7  6.75781E-01  4.263E-01  9.275E-01  3.031E-01
  7  6.83594E-01  4.263E-01  9.275E-01  3.031E-01
  7  6.91406E-01  4.263E-01  9.275E-01  3.031E-01
  8  6.97266E-01  4.263E-01  9.274E-01  3.031E-01
  8  7.01172E-01  4.263E-01  9.274E-01  3.031E-01
  8  7.05078E-01  4.263E-01  9.274E-01  3.031E-01
  8  7.08984E-01  4.263E-01  9.274E-01  3.031E-01
  8  7.12891E-01  4.263E-01  9.274E-01  3.031E-01
  9  7.15820E-01  4.263E-01  9.274E-01  3.031E-01
  9  7.17773E-01  4.263E-01  9.274E-01  3.031E-01
  9  7.19727E-01  4.263E-01  9.274E-01  3.031E-01
  9  7.21680E-01  4.263E-01  9.274E-01  3.031E-01
 10  7.23145E-01  4.263E-01  9.274E-01  3.031E-01
 10  7.24121E-01  4.263E-01  9.274E-01  3.031E-01
 10  7.25098E-01  4.263E-01  9.274E-01  3.031E-01
 10  7.26074E-01  4.263E-01  9.274E-01  3.031E-01
 10  7.27051E-01  4.263E-01  9.274E-01  3.031E-01
 11  7.27783E-01  4.263E-01  9.274E-01  3.031E-01
 11  7.28271E-01  4.263E-01  9.274E-01  3.031E-01
 11  7.28760E-01  4.263E-01  9.274E-01  3.031E-01
 11  7.29248E-01  4.263E-01  9.274E-01  3.031E-01
 11  7.29736E-01  4.263E-01  9.274E-01  3.031E-01
 12  7.30103E-01  4.263E-01  9.274E-01  3.031E-01
 12  7.30347E-01  4.263E-01  9.274E-01  3.031E-01
 12  7.30591E-01  4.263E-01  9.274E-01  3.031E-01
 12  7.30835E-01  4.263E-01  9.274E-01  3.031E-01
 12  7.31079E-01  4.263E-01  9.274E-01  3.031E-01
 13  7.31262E-01  4.263E-01  9.274E-01  3.031E-01
 13  7.31384E-01  4.263E-01  9.274E-01  3.031E-01
 13  7.31506E-01  4.263E-01  9.274E-01  3.031E-01
 13  7.31628E-01  4.263E-01  9.274E-01  3.031E-01
 13  7.31750E-01  4.263E-01  9.274E-01  3.031E-01
 14  7.31842E-01  4.263E-01  9.274E-01  3.031E-01
 14  7.31903E-01  4.263E-01  9.274E-01  3.031E-01
 14  7.31964E-01  4.262E-01  9.274E-01  3.031E-01
 14  7.32025E-01  4.256E-01  9.274E-01  3.031E-01
 14  7.32086E-01  4.227E-01  9.274E-01  3.031E-01
 14  7.32147E-01  4.072E-01  9.274E-01  3.031E-01
 15  7.32193E-01  3.935E-01  9.274E-01  3.031E-01
 15  7.32224E-01  3.844E-01  9.274E-01  3.031E-01
 15  7.32254E-01  3.749E-01  9.274E-01  3.031E-01
 15  7.32285E-01  3.653E-01  9.274E-01  3.031E-01
 15  7.32315E-01  3.555E-01  9.274E-01  3.031E-01
 15  7.32346E-01  3.457E-01  9.274E-01  3.031E-01
 15  7.32376E-01  3.357E-01  9.274E-01  3.031E-01
 15  7.32407E-01  3.257E-01  9.274E-01  3.031E-01
 15  7.32437E-01  3.158E-01  9.274E-01  3.031E-01
 15  7.32468E-01  3.061E-01  9.274E-01  3.031E-01
 15  7.32498E-01  2.969E-01  9.274E-01  3.031E-01
 15  7.32529E-01  2.882E-01  9.274E-01  3.031E-01
 15  7.32559E-01  2.803E-01  9.274E-01  3.031E-01
 15  7.32590E-01  2.738E-01  9.274E-01  3.031E-01
 15  7.32620E-01  2.687E-01  9.274E-01  3.031E-01
 15  7.32651E-01  2.667E-01  9.274E-01  3.031E-01
 14  7.32697E-01  2.657E-01  9.274E-01  3.031E-01
 14  7.32758E-01  2.655E-01  9.274E-01  3.031E-01
 14  7.32819E-01  2.655E-01  9.274E-01  3.031E-01
 14  7.32880E-01  2.655E-01  9.274E-01  3.031E-01
 13  7.32971E-01  2.655E-01  9.274E-01  3.031E-01
 13  7.33093E-01  2.655E-01  9.274E-01  3.031E-01
 13  7.33215E-01  2.655E-01  9.274E-01  3.031E-01
 13  7.33337E-01  2.655E-01  9.274E-01  3.031E-01
 12  7.33521E-01  2.655E-01  9.274E-01  3.031E-01
 12  7.33765E-01  2.655E-01  9.274E-01  3.031E-01
 12  7.34009E-01  2.655E-01  9.274E-01  3.031E-01
 12  7.34253E-01  2.655E-01  9.274E-01  3.031E-01
 11  7.34619E-01  2.656E-01  9.274E-01  3.031E-01
 11  7.35107E-01  2.656E-01  9.274E-01  3.031E-01
 11  7.35596E-01  2.656E-01  9.274E-01  3.031E-01
 11  7.36084E-01  2.656E-01  9.274E-01  3.031E-01
 10  7.36816E-01  2.656E-01  9.274E-01  3.031E-01
 10  7.37793E-01  2.656E-01  9.274E-01  3.031E-01
 10  7.38770E-01  2.656E-01  9.274E-01  3.031E-01
 10  7.39746E-01  2.656E-01  9.274E-01  3.031E-01
  9  7.41211E-01  2.656E-01  9.274E-01  3.031E-01
  9  7.43164E-01  2.656E-01  9.274E-01  3.031E-01
  9  7.45117E-01  2.656E-01  9.274E-01  3.031E-01
  9  7.47070E-01  2.656E-01  9.274E-01  3.031E-01
  9  7.49023E-01  2.656E-01  9.274E-01  3.031E-01
  8  7.51953E-01  2.656E-01  9.274E-01  3.031E-01
  8  7.55859E-01  2.656E-01  9.274E-01  3.031E-01
  8  7.59766E-01  2.656E-01  9.273E-01  3.031E-01
  8  7.63672E-01  2.655E-01  9.273E-01  3.031E-01
  7  7.69531E-01  2.655E-01  9.273E-01  3.031E-01
  7  7.77344E-01  2.655E-01  9.273E-01  3.031E-01
